Game,Date,A,B,C,D,E,F
3036,14/07/2018,11,22,27,32,34,36
3037,17/07/2018,13,19,21,27,29,32
3038,22/07/2018,3,11,13,25,28,35
3039,24/07/2018,2,9,15,26,29,35
3040,28/07/2018,6,9,26,29,36,37
3041,31/07/2018,2,14,25,26,32,33
3042,02/08/2018,2,9,11,16,23,35
3043,04/08/2018,9,16,22,23,25,28
3044,07/08/2018,2,6,17,22,30,33
3045,11/08/2018,4,5,8,25,26,33
3046,14/08/2018,7,13,16,18,19,28
3047,18/08/2018,1,3,18,20,23,37
3048,21/08/2018,1,5,11,12,22,27
3049,25/08/2018,10,13,18,26,31,33
3050,28/08/2018,1,4,27,34,36,37
3051,01/09/2018,9,18,24,28,30,36
3052,04/09/2018,7,9,12,16,27,33
3053,06/09/2018,1,4,7,8,12,16
3054,08/09/2018,4,6,20,23,28,34
3055,12/09/2018,7,8,11,20,30,37
3056,15/09/2018,4,8,13,18,21,32
3057,17/09/2018,2,12,16,17,28,36
3058,22/09/2018,7,11,18,20,21,22
3059,25/09/2018,6,13,22,25,29,37
3060,29/09/2018,1,8,15,16,20,31
3061,02/10/2018,4,12,21,24,35,37
3062,04/10/2018,7,14,18,27,34,37
3063,06/10/2018,1,3,13,17,21,32
3064,09/10/2018,6,16,21,27,28,29
3065,13/10/2018,1,5,15,17,23,37
3066,16/10/2018,8,13,14,27,30,37
3067,20/10/2018,7,20,21,25,35,37
3068,23/10/2018,4,16,23,29,35,36
3069,27/10/2018,11,17,19,25,27,28
3070,30/10/2018,6,7,11,17,22,29
3071,01/11/2018,4,8,13,20,27,29
3072,03/11/2018,2,7,9,19,24,25
3073,06/11/2018,8,9,13,14,27,29
3074,10/11/2018,16,18,20,22,24,25
3075,13/11/2018,9,20,25,27,34,37
3076,17/11/2018,6,16,23,24,30,33
3077,20/11/2018,3,5,16,18,21,26
3078,24/11/2018,2,12,14,18,22,25
3079,27/11/2018,3,5,8,18,19,29
3080,01/12/2018,7,8,25,31,32,35
3081,04/12/2018,1,3,7,9,15,22
3082,08/12/2018,8,11,13,18,25,31
3083,11/12/2018,15,21,23,27,36,37
3084,13/12/2018,1,10,18,25,31,36
3085,15/12/2018,1,3,4,13,23,28
3086,18/12/2018,3,16,19,22,25,26
3087,22/12/2018,16,17,19,29,34,37
3088,25/12/2018,6,9,10,11,18,29
3089,27/12/2018,12,13,19,21,35,36
3090,29/12/2018,3,7,11,17,19,31
3091,01/01/2019,7,13,15,16,20,31
3092,03/01/2019,8,14,20,23,24,28
